89660;MERRY SUR YONNE
89130;MEZILLES
89140;MICHERY
89580;MIGE
89400;MIGENNES
89310;MOLAY
89560;MOLESMES
89190;MOLINONS
89700;MOLOSMES
89470;MONETEAU
89150;MONTACHER VILLEGARDIN
89230;MONTIGNY LA RESLE
89660;MONTILLOT
89420;MONTREAL
89250;MONT ST SULPICE
89560;MOUFFY
89310;MOULINS EN TONNERROIS
89130;MOULINS SUR OUANNE
89520;MOUTIERS EN PUISAYE
89100;NAILLY
89113;NEUILLY
89570;NEUVY SAUTOUR
89310;NITRY
89320;NOE
89310;NOYERS
89390;NUITS
89110;LES ORMES
89400;ORMOY
89560;OUANNE
89160;PACY SUR ARMANCON
89140;PAILLY
89240;PARLY
89100;PARON
89210;PAROY EN OTHE
89300;PAROY SUR THOLON
89310;PASILLY
89510;PASSY
89360;PERCEY
89120;PERREUX
89000;PERRIGNY
89390;PERRIGNY SUR ARMANCON
89450;PIERRE PERTHUIS
89330;PIFFONDS
89740;PIMELLES
89420;PISY
89140;PLESSIS ST JEAN
89310;POILLY SUR SEREIN
89110;POILLY SUR THOLON
89200;PONTAUBERT
89230;PONTIGNY
89190;PONT SUR VANNE
89140;PONT SUR YONNE
89260;LA POSTOLLE
89240;POURRAIN
89440;PRECY LE SEC
89116;PRECY SUR VRIN
89460;PREGILBERT
89800;PREHY
89200;PROVENCY
89120;PRUNOY
89630;QUARRE LES TOMBES
89290;QUENNE
89740;QUINCEROT
89390;RAVIERES
89700;ROFFEY
89220;ROGNY LES SEPT ECLUSES
89170;RONCHERES
89100;ROSOY
89500;ROUSSON
89230;ROUVRAY
89430;RUGNY
89270;SACY
89520;SAINPUITS
89340;ST AGNAN
89420;ST ANDRE EN TERRE PLAINE
89110;ST AUBIN CHATEAU NEUF
89300;ST AUBIN SUR YONNE
89630;ST BRANCHER
89530;ST BRIS LE VINEUX
89100;ST CLEMENT
89440;STE COLOMBE
89520;STE COLOMBE SUR LOING
89800;ST CYR LES COLONS
89100;ST DENIS LES SENS
89120;ST DENIS SUR OUANNE
89170;ST FARGEAU
89600;ST FLORENTIN
89000;ST GEORGES SUR BAULCHE
89630;ST GERMAIN DES CHAMPS
89330;ST JULIEN DU SAULT
89630;ST LEGER VAUBAN
89330;ST LOUP D ORDON
89420;STE MAGNANCE
89170;ST MARTIN DES CHAMPS
89330;ST MARTIN D ORDON
89100;ST MARTIN DU TERTRE
89700;ST MARTIN SUR ARMANCON
89110;ST MARTIN SUR OCRE
89120;ST MARTIN SUR OUANNE
89190;ST MAURICE AUX RICHES HOMMES
89110;ST MAURICE LE VIEIL
89110;ST MAURICE THIZOUAILLE
89270;ST MORE
89460;STE PALLAYE
89450;ST PERE
89220;ST PRIVE
89116;ST ROMAIN LE PREUX
89520;SAINTS EN PUISAYE
89520;ST SAUVEUR EN PUISAYE
89140;ST SEROTIN
89150;ST VALERIEN
89310;STE VERTU
89100;SALIGNY
89160;SAMBOURG
89420;SANTIGNY
89310;SARRY
89420;SAUVIGNY LE BEUREAL
89200;SAUVIGNY LE BOIS
89420;SAVIGNY EN TERRE PLAINE
89150;SAVIGNY SUR CLAIRIS
89420;SCEAUX
89250;SEIGNELAY
89560;SEMENTRON
89710;SENAN
89160;SENNEVOY LE BAS
89160;SENNEVOY LE HAUT
89100;SENS
89116;SEPEAUX
89140;SERBONNES
89140;SERGINES
89200;SERMIZELLES
89700;SERRIGNY
89270;SERY
89190;LES SIEGES
89110;SOMMECAISE
89570;SORMERY
89100;SOUCY
89520;SOUGERES EN PUISAYE
89570;SOUMAINTRAIN
89160;STIGNY
89100;SUBLIGNY
89560;TAINGY
89420;TALCY
89430;TANLAY
89350;TANNERRE EN PUISAYE
89450;THAROISEAU
89200;THAROT
89320;THEIL SUR VANNE
89420;THIZY
89430;THOREY
89260;THORIGNY SUR OREUSE
89200;THORY
89520;THURY
89700;TISSEY
89700;TONNERRE
89130;TOUCY
89520;TREIGNY
