28410;ABONDANT
28310;ALLAINES MERVILLIERS
28500;ALLAINVILLE
28150;ALLONNES
28800;ALLUYES
28300;AMILLY
28260;ANET
28170;ARDELLES
28700;ARDELU
28480;ARGENVILLIERS
28290;ARROU
28700;AUNAY SOUS AUNEAU
28500;AUNAY SOUS CRECY
28700;AUNEAU
28330;LES AUTELS VILLEVILLON
28220;AUTHEUIL
28330;AUTHON DU PERCHE
28140;BAIGNEAUX
28150;BAIGNOLET
28120;BAILLEAU LE PIN
28300;BAILLEAU L EVEQUE
28320;BAILLEAU ARMENONVILLE
28630;BARJOUVILLE
28310;BARMAINVILLE
28310;BAUDREVILLE
28330;LA BAZOCHE GOUET
28140;BAZOCHES EN DUNOIS
28140;BAZOCHES LES HAUTES
28270;BEAUCHE
28480;BEAUMONT LES AUTELS
28150;BEAUVILLIERS
28240;BELHOMERT GUEHOUVILLE
28300;BERCHERES ST GERMAIN
28630;BERCHERES LES PIERRES
28260;BERCHERES SUR VESGRE
28270;BEROU LA MULOTIERE
28330;BETHONVILLIERS
28700;BEVILLE LE COMTE
28190;BILLANCELLES
28120;BLANDAINVILLE
28220;BOISGASSON
28500;BOISSY EN DROUAIS
28340;BOISSY LES PERCHE
28150;BOISVILLE LA ST PERE
28360;LA BOURDINIERE ST LOUP
28150;BONCE
28260;BONCOURT
28800;BONNEVAL
28130;BOUGLAINVAL
28170;LE BOULLAY LES DEUX EGLISES
28210;LE BOULLAY MIVOYE
28210;LE BOULLAY THIERRY
28410;BOUTIGNY PROUAIS
28800;BOUVILLE
28210;BRECHAMPS
28270;BREZOLLES
28300;BRICONVILLE
28160;BROU
28410;BROUE
28400;BRUNELLES
28410;BU
28800;BULLAINVILLE
28160;BULLOU
28120;CERNAY
28300;CHALLET
28300;CHAMPHOL
28240;CHAMPROND EN GATINE
28400;CHAMPROND EN PERCHET
28700;CHAMPSERU
28700;LA CHAPELLE D AUNAINVILLE
28200;LA CHAPELLE DU NOYER
28500;LA CHAPELLE FORAINVILLIERS
28340;LA CHAPELLE FORTIN
28330;CHAPELLE GUILLAUME
28290;CHAPELLE ROYALE
28330;CHARBONNIERES
28120;CHARONVILLE
28500;CHARPONT
28220;CHARRAY
28130;CHARTAINVILLIERS
28000;CHARTRES
28480;CHASSANT
28270;CHATAINCOURT
28200;CHATEAUDUN
28170;CHATEAUNEUF EN THYMERAIS
28270;LES CHATELETS
28120;LES CHATELLIERS NOTRE DAME
28700;CHATENAY
28290;CHATILLON EN DUNOIS
28210;CHAUDON
28120;CHAUFFOURS
28260;LA CHAUSSEE D IVRY
28500;CHERISY
28190;CHUISNES
28300;CINTRAY
28200;CIVRY
28300;CLEVILLIERS
28220;CLOYES SUR LE LOIR
28300;COLTAINVILLE
28480;COMBRES
28200;CONIE MOLITARD
28630;CORANCEZ
